15,114,114,85,85,104,93,114,77,77,71,85,93,77,104,93,62,93,77,71,77,58,77,71,77,62,65,71,85,93,77,65,71,77,114,114,71,93,104,77,77,124,114,71,71,62,65,57,71,65,57,60,60,71,65,54,56,60,85,65,60,60,71,71,62,85,93,93,104,85,71,65,71,71,65,71,65,62,85,71,77,60,77,77,77,60,77,62,55,60,57,55,56,58,56,50,50,55,52,52,53,55,52,53,55,53,53,55,55,56,53,54,51,49,50,48,50,52,49,51,49,49,48,48,49,47,45,41,37,41,41,43,40,39,39,37,38,42,41,42,44,48,49,47,45,46,49,57,65,51,48,52,48,46,46,47,47,46,47,43,47,45,40,40,40,48,55,77,51,42,33,33,31,30,33,33,36,28,29,28,27,29,33,36,36,30,33,34,36,32,31,31,33,33,34,35,37,33,35,31,35,38,36,34,34,38,42,42,44,44,42,40,41,41,40,42,40,34,34,32,38,43,45,51,57,55,62,77,77,124,184,198,202,204,202,200,195,192,164,60,57,50,49,53,58,50,47,51,48,46,47,47,48,65,51,42,
12,57,54,52,53,53,53,54,57,55,57,57,56,57,62,57,56,56,65,57,62,71,85,56,60,60,77,65,77,71,77,62,104,71,124,77,93,114,134,151,93,134,143,104,85,71,71,104,71,85,71,71,60,62,60,71,60,71,60,62,62,85,93,77,85,71,65,93,143,77,77,93,85,85,114,85,104,134,143,114,104,104,134,65,85,93,77,85,77,93,77,62,77,57,57,55,53,56,65,60,57,58,65,62,53,54,53,52,56,55,51,52,54,53,49,50,49,51,52,51,53,52,51,49,47,46,44,43,38,40,41,43,41,36,38,36,36,38,36,39,41,45,44,45,42,41,42,45,46,53,49,45,48,46,47,47,47,45,47,44,44,41,40,40,40,40,41,37,34,32,31,35,43,38,37,37,35,27,25,27,29,30,33,29,29,27,31,25,31,31,32,30,31,30,36,39,41,37,33,30,31,25,24,26,32,30,34,37,37,39,40,41,41,40,35,34,32,33,35,29,31,33,35,39,39,42,41,39,43,45,58,184,202,195,184,188,208,208,206,206,202,204,192,173,184,200,188,200,200,202,198,173,173,210,184,47,
6,49,50,51,50,50,51,53,52,55,58,53,58,55,58,56,62,56,58,58,71,60,71,65,56,65,85,71,71,85,77,65,62,77,93,65,77,93,104,85,93,114,85,134,71,77,71,85,71,104,85,85,124,93,62,58,60,85,71,71,93,85,143,158,143,124,77,93,143,104,71,124,104,93,134,77,104,93,134,124,104,124,164,114,114,124,77,93,104,93,104,62,71,93,104,114,71,71,77,60,93,77,62,62,53,57,54,54,55,54,56,51,53,58,50,52,49,51,51,51,55,58,53,50,50,48,49,50,47,46,47,44,41,39,41,41,42,44,43,45,47,46,45,47,46,43,43,43,44,50,49,48,48,47,47,45,48,48,47,48,47,46,44,45,43,44,43,39,37,36,37,37,39,41,43,46,47,39,33,33,31,30,30,30,29,30,32,27,26,29,27,26,26,30,36,36,34,34,33,34,31,27,20,25,29,27,30,30,31,31,37,40,39,37,33,33,31,33,34,34,33,31,28,36,34,37,38,34,36,38,37,43,60,173,176,151,188,192,198,198,195,173,195,180,195,204,192,195,206,206,208,151,52,53,114,151,
6,47,48,48,46,47,47,46,44,48,51,57,55,56,53,56,58,53,60,58,65,71,85,62,60,85,77,77,58,77,104,62,65,93,62,71,85,93,71,93,71,62,65,93,77,65,60,58,93,71,143,124,114,114,71,77,85,71,65,62,71,124,151,168,164,158,151,134,134,134,85,124,124,143,151,85,104,85,124,143,124,134,114,124,114,151,104,77,93,158,124,114,114,151,143,134,93,114,85,93,65,104,71,85,65,93,85,104,65,60,55,55,65,55,53,57,55,50,54,52,52,53,50,49,53,51,49,52,52,52,49,49,46,46,47,49,47,47,46,49,49,48,47,49,49,45,47,46,48,49,51,50,52,51,54,51,51,51,53,54,50,50,49,51,50,49,51,49,46,46,44,41,42,43,43,41,40,38,39,41,42,36,32,31,27,29,29,27,25,27,26,26,29,30,34,33,33,28,29,30,33,31,31,27,26,25,28,23,27,31,32,32,33,32,33,29,31,33,34,32,33,31,29,33,31,33,34,32,34,32,31,30,35,39,53,143,158,134,114,164,184,143,85,164,176,195,195,180,93,184,192,184,114,47,43,56,
4,46,46,43,43,43,41,42,43,45,48,53,53,54,55,54,54,53,50,53,53,55,55,54,60,77,77,77,71,93,93,71,104,124,93,85,71,114,93,85,85,85,93,104,85,62,60,93,85,114,104,114,124,77,93,151,104,114,65,71,104,104,168,164,180,176,151,158,114,134,143,143,134,158,158,134,104,114,114,134,158,151,104,134,124,158,151,151,124,93,93,134,134,134,164,158,114,134,124,143,93,151,124,104,114,134,158,151,93,104,71,114,93,58,57,60,62,56,57,53,55,55,55,52,53,55,52,51,51,51,51,50,48,49,49,49,47,49,49,48,49,52,48,49,49,49,50,50,50,50,51,53,53,51,53,54,58,54,54,56,53,52,57,53,55,53,51,52,53,51,49,47,51,52,51,47,45,41,43,42,40,39,38,34,36,33,33,30,26,25,26,26,27,26,31,29,28,26,28,30,33,32,34,35,30,26,28,30,29,33,32,30,29,26,27,27,33,33,33,29,31,31,32,33,34,32,30,30,31,32,34,34,31,32,38,45,49,48,46,49,53,50,45,43,46,47,48,50,58,151,143,62,52,48,47,54,
7,49,48,46,46,45,43,42,43,45,49,50,51,53,51,53,52,58,56,51,54,52,54,55,53,52,62,58,71,77,60,58,65,85,114,114,104,71,114,104,93,104,124,104,104,93,93,134,104,104,114,104,93,104,151,158,114,93,124,85,93,114,164,143,164,180,151,158,143,164,134,143,158,151,173,176,151,151,158,158,164,168,151,114,143,124,168,158,143,151,124,143,124,104,143,158,134,151,164,134,158,143,158,164,143,158,124,124,143,93,93,114,85,71,93,85,62,71,71,93,85,65,62,55,54,54,52,50,54,53,54,51,49,48,48,50,51,50,50,49,50,51,51,51,51,52,51,51,51,53,52,52,55,52,51,51,57,53,51,54,54,55,62,62,62,58,55,56,58,57,54,53,53,56,52,50,50,49,48,47,43,43,43,41,41,40,40,40,39,36,32,31,31,29,28,27,26,29,29,30,32,32,29,31,27,31,29,29,28,31,29,29,30,28,29,30,32,32,30,32,31,32,33,33,34,33,34,30,30,31,32,34,33,34,34,34,37,36,38,37,37,35,35,36,39,39,37,37,39,45,45,44,45,43,43,48,
6,48,49,48,50,49,48,46,47,48,50,51,49,50,50,52,52,53,58,51,55,51,51,55,57,58,56,51,54,54,51,52,52,56,93,85,134,93,85,93,85,93,85,93,104,93,114,114,114,114,124,104,124,124,134,151,124,104,104,114,104,114,158,134,158,143,134,158,164,176,168,164,134,151,164,164,168,143,151,164,158,168,173,151,143,134,134,134,134,143,134,104,104,134,134,104,134,85,124,114,114,114,151,124,124,134,93,124,124,134,114,93,114,114,85,124,124,114,85,77,71,85,114,65,71,77,65,56,56,54,52,51,53,53,51,52,53,55,54,54,55,52,55,53,53,54,51,55,52,53,55,55,53,52,51,50,56,53,50,52,54,57,62,54,58,58,58,62,60,62,55,57,60,54,54,51,55,55,57,57,54,53,53,48,48,47,44,41,42,42,42,39,35,34,31,30,25,29,33,31,27,25,27,31,29,31,29,27,26,29,27,30,31,30,29,32,28,29,29,31,31,34,34,33,34,35,36,32,31,29,27,31,30,33,33,31,32,33,34,33,35,33,36,35,36,31,34,36,34,37,38,38,38,39,44,50,
6,47,47,50,51,50,50,50,50,50,49,49,48,48,49,48,51,49,52,50,50,48,50,50,50,52,48,48,49,49,50,49,51,55,58,60,57,58,62,62,58,60,58,77,65,62,62,58,62,62,71,71,134,104,104,93,71,114,114,124,143,134,114,151,134,124,151,151,134,164,168,164,151,173,164,168,168,158,158,168,134,158,164,158,158,143,151,134,168,164,143,151,143,143,151,85,114,85,93,114,143,124,104,114,124,158,114,124,158,143,134,77,124,124,93,124,114,134,114,104,71,77,104,85,77,124,93,134,77,56,55,56,55,60,57,60,77,60,57,60,60,57,54,53,55,57,56,53,53,53,57,57,55,53,52,54,54,52,53,51,58,65,58,56,56,52,57,60,57,60,62,58,60,57,54,55,55,56,56,60,58,60,60,57,56,52,51,48,51,51,48,47,40,38,38,36,36,31,32,31,29,29,27,26,28,30,30,27,26,29,30,32,30,26,29,32,31,30,30,33,35,34,35,35,34,34,30,31,29,30,29,29,31,32,31,31,31,32,31,33,33,35,34,36,35,34,33,36,34,35,34,33,34,36,36,36,
4,49,49,51,49,48,49,48,49,49,49,48,47,48,47,47,51,51,49,46,44,45,45,46,46,46,49,48,48,51,52,52,56,55,60,54,49,49,53,54,54,57,71,58,62,62,53,55,52,53,53,60,62,77,77,62,85,93,93,143,134,134,164,134,143,114,114,151,134,164,164,158,164,176,158,151,168,158,134,134,124,164,158,164,173,173,164,151,164,151,168,173,168,164,164,134,134,134,114,158,158,151,158,164,158,176,164,143,143,151,180,168,151,164,143,93,114,93,77,104,71,77,93,58,62,77,85,104,93,65,77,62,71,71,65,65,62,57,60,77,62,60,57,56,53,54,60,53,56,54,54,53,55,52,52,53,56,53,49,51,54,54,55,55,53,53,77,57,77,77,58,57,57,57,57,58,65,60,60,58,62,77,58,54,54,58,60,54,58,56,51,51,49,48,46,43,46,45,42,39,38,37,31,26,26,26,31,32,30,30,30,32,27,25,29,34,34,32,32,34,36,32,34,33,32,31,30,31,31,30,29,28,30,34,32,30,30,30,32,32,34,36,37,33,36,35,32,33,37,36,35,34,31,34,35,34,
5,49,50,49,49,49,49,49,50,50,50,51,49,47,49,49,50,52,53,48,43,43,42,41,41,42,45,50,52,53,55,53,58,57,60,51,47,47,44,48,49,50,51,55,62,77,77,56,52,51,48,51,54,57,56,58,104,104,85,124,134,124,134,93,85,114,124,158,143,158,151,143,124,158,164,164,143,104,164,168,151,158,151,176,168,173,168,158,158,158,164,168,180,151,158,143,143,143,151,151,168,173,173,173,168,173,168,168,143,143,164,151,143,134,124,134,134,134,124,114,71,104,143,93,114,104,124,104,104,93,134,124,134,134,124,124,85,85,114,65,62,62,71,62,71,65,62,65,60,62,60,57,53,56,58,56,54,54,53,51,52,56,51,49,54,53,56,57,71,71,57,54,56,56,65,58,62,57,60,85,65,60,62,60,58,56,71,65,71,60,55,62,71,52,53,51,51,49,49,49,49,45,43,38,36,33,32,35,33,32,33,33,31,29,32,33,34,32,32,30,31,30,31,33,32,30,32,35,36,36,31,28,33,34,34,31,30,30,32,34,34,36,36,34,34,32,30,31,36,35,33,33,31,34,34,34,
